log_id,run_date,batch_name,dataset_size,overall_data_drift,drifted_features_count,model_accuracy,action_required
1,2026-04-01,day_1.csv,1000,YES,5,0.827,RETRAIN MODEL
2,2026-04-02,day_2.csv,1000,YES,4,0.835,RETRAIN MODEL
3,2026-04-03,day_3.csv,1000,YES,4,0.84,RETRAIN MODEL
4,2026-04-04,day_4.csv,1000,YES,4,0.811,RETRAIN MODEL
5,2026-04-05,day_5.csv,1000,YES,4,0.825,RETRAIN MODEL
6,2026-04-06,day_6.csv,1000,YES,5,0.802,RETRAIN MODEL
7,2026-04-07,day_7.csv,1000,YES,5,0.827,RETRAIN MODEL
8,2026-04-08,day_8.csv,1000,YES,4,0.826,RETRAIN MODEL
9,2026-04-09,day_9.csv,1000,YES,5,0.828,RETRAIN MODEL
10,2026-04-10,day_10.csv,1000,YES,4,0.815,RETRAIN MODEL
11,2026-04-11,day_11.csv,1000,YES,5,0.826,RETRAIN MODEL
12,2026-04-12,day_12.csv,1000,YES,5,0.862,RETRAIN MODEL
13,2026-04-13,day_13.csv,1000,YES,4,0.837,RETRAIN MODEL
14,2026-04-14,day_14.csv,1000,YES,5,0.831,RETRAIN MODEL
15,2026-04-15,day_15.csv,1000,YES,4,0.823,RETRAIN MODEL
16,2026-04-16,day_16.csv,1000,YES,4,0.84,RETRAIN MODEL
17,2026-04-17,day_17.csv,1000,YES,4,0.844,RETRAIN MODEL
18,2026-04-18,day_18.csv,1000,YES,4,0.838,RETRAIN MODEL
19,2026-04-19,day_19.csv,1000,YES,5,0.841,RETRAIN MODEL
20,2026-04-20,day_20.csv,1000,YES,4,0.851,RETRAIN MODEL
21,2026-04-21,day_21.csv,1000,YES,4,0.851,RETRAIN MODEL
22,2026-04-22,day_22.csv,1000,YES,4,0.846,RETRAIN MODEL
23,2026-04-23,day_23.csv,1000,YES,5,0.857,RETRAIN MODEL
24,2026-04-24,day_24.csv,1000,YES,5,0.847,RETRAIN MODEL
25,2026-04-25,day_25.csv,1000,YES,5,0.853,RETRAIN MODEL
26,2026-04-26,day_26.csv,1000,YES,4,0.853,RETRAIN MODEL
27,2026-04-27,day_27.csv,1000,YES,4,0.84,RETRAIN MODEL
28,2026-04-28,day_28.csv,1000,YES,5,0.837,RETRAIN MODEL
29,2026-04-29,day_29.csv,1000,YES,5,0.815,RETRAIN MODEL
30,2026-04-30,day_30.csv,1000,YES,5,0.857,RETRAIN MODEL
